30609;2019-01-02 11:00:00;1022;125;1730
30609;2019-01-02 12:00:00;1022;125;1730
18588;2019-01-02 12:00:00;7759;125;1730
21885;2019-01-02 12:00:00;734;145;1650
19473;2019-01-02 12:00:00;6196;125;1730
30609;2019-01-02 12:00:00;1022;200;18512
21885;2019-01-02 12:00:00;734;240;29336
21885;2019-01-02 13:00:00;734;240;29336
21885;2019-01-02 13:00:00;734;145;1650
18588;2019-01-02 13:00:00;7759;125;1730
30609;2019-01-02 13:00:00;1024;125;1730
30609;2019-01-02 13:00:00;1024;200;18512
19473;2019-01-02 13:00:00;6142;125;1730
25925;2019-01-02 13:00:00;4903;120;1730
19473;2019-01-02 13:20:00;6142;125;1730
18588;2019-01-02 14:00:00;7759;125;1730
25925;2019-01-02 14:00:00;4903;120;1730
19473;2019-01-02 14:00:00;12231;125;1730
21885;2019-01-02 14:00:00;732;145;1650
21885;2019-01-02 14:00:00;732;240;29336
30609;2019-01-02 14:00:00;1024;200;18512
30609;2019-01-02 14:00:00;1024;125;1730
19473;2019-01-02 15:00:00;12231;125;1730
25925;2019-01-02 15:00:00;4903;120;1730
18588;2019-01-02 15:00:00;7759;125;1730
30609;2019-01-02 15:00:00;1022;125;1730
21885;2019-01-02 15:00:00;732;145;1650
21885;2019-01-02 15:00:00;732;240;29336
30609;2019-01-02 15:00:00;1022;200;18512
18588;2019-01-02 16:00:00;7705;125;1730
30609;2019-01-02 16:00:00;1022;200;18512
21885;2019-01-02 16:00:00;732;240;29336
19473;2019-01-02 16:00:00;12177;125;1730
21885;2019-01-02 16:00:00;732;145;1650
30609;2019-01-02 16:00:00;1022;125;1730
25925;2019-01-02 16:00:00;4903;120;1730
18588;2019-01-02 17:00:00;7705;125;1730
21885;2019-01-02 17:00:00;732;240;29336
25925;2019-01-02 17:00:00;4903;120;1730
19473;2019-01-02 17:00:00;12177;125;1730
21885;2019-01-02 17:00:00;732;145;1650
30609;2019-01-02 17:00:00;1022;125;1730
30609;2019-01-02 17:00:00;1022;200;18512
18588;2019-01-02 18:00:00;7705;125;1730
21885;2019-01-02 18:00:00;732;145;1650
19473;2019-01-02 18:00:00;12177;125;1730
30609;2019-01-02 18:00:00;1020;200;18512
21885;2019-01-02 18:00:00;732;240;29336
25925;2019-01-02 18:00:00;4903;120;1730
30609;2019-01-02 18:00:00;1020;125;1730
21885;2019-01-02 19:00:00;730;240;29336
19473;2019-01-02 19:00:00;12177;125;1730
25925;2019-01-02 19:00:00;4849;120;1730
18588;2019-01-02 19:00:00;7705;125;1730
30609;2019-01-02 19:00:00;1020;125;1730
21885;2019-01-02 19:00:00;730;145;1650
30609;2019-01-02 19:00:00;1020;200;18512
21885;2019-01-02 20:00:00;728;145;1650
18588;2019-01-02 20:00:00;7705;125;1730
19473;2019-01-02 20:00:00;12123;125;1730
21885;2019-01-02 20:00:00;728;240;29336
25925;2019-01-02 20:00:00;4903;120;1730
30609;2019-01-02 20:00:00;1020;200;18512
30609;2019-01-02 20:00:00;1020;125;1730
18588;2019-01-02 21:00:00;7651;125;1730
25925;2019-01-02 21:00:00;4849;120;1730
19473;2019-01-02 21:00:00;12123;125;1730
21885;2019-01-02 21:00:00;728;240;29336
21885;2019-01-02 21:00:00;728;145;1650
30609;2019-01-02 21:00:00;1020;125;1730
30609;2019-01-02 21:00:00;1020;200;18512
18588;2019-01-02 22:00:00;7651;125;1730
21885;2019-01-02 22:00:00;728;240;29336
21885;2019-01-02 22:00:00;728;145;1650
19473;2019-01-02 22:00:00;12069;125;1730
25925;2019-01-02 22:00:00;4849;120;1730
30609;2019-01-02 22:00:00;1018;200;18512
30609;2019-01-02 22:00:00;1018;125;1730
25925;2019-01-02 23:00:00;4849;120;1730
21885;2019-01-02 23:00:00;730;240;29336
19473;2019-01-02 23:00:00;12069;125;1730
18588;2019-01-02 23:00:00;7597;125;1730
30609;2019-01-02 23:00:00;1018;200;18512
30609;2019-01-02 23:00:00;1018;125;1730
21885;2019-01-02 23:00:00;730;145;1650
19473;2019-01-03 00:00:00;12015;125;1730
18588;2019-01-03 00:00:00;7597;125;1730
21885;2019-01-03 00:00:00;730;145;1650
30609;2019-01-03 00:00:00;1016;125;1730
25925;2019-01-03 00:00:00;4849;120;1730
21885;2019-01-03 00:00:00;730;240;29336
30609;2019-01-03 00:00:00;1016;200;18512
18588;2019-01-03 01:00:00;7597;125;1730
19473;2019-01-03 01:00:00;12015;125;1730
21885;2019-01-03 01:00:00;730;240;29336
25925;2019-01-03 01:00:00;4849;120;1730
21885;2019-01-03 01:00:00;730;145;1650
30609;2019-01-03 01:00:00;1016;125;1730
30609;2019-01-03 01:00:00;1016;200;18512
21885;2019-01-03 02:00:00;728;145;1650
18588;2019-01-03 02:00:00;7543;125;1730
30609;2019-01-03 02:00:00;1016;125;1730
19473;2019-01-03 02:00:00;12015;125;1730
30609;2019-01-03 02:00:00;1016;200;18512
21885;2019-01-03 02:00:00;728;240;29336
25925;2019-01-03 02:00:00;4849;120;1730
21885;2019-01-03 03:00:00;728;145;1650
19473;2019-01-03 03:00:00;11961;125;1730
18588;2019-01-03 03:00:00;7597;125;1730
30609;2019-01-03 03:00:00;1015;200;18512
25925;2019-01-03 03:00:00;4849;120;1730
30609;2019-01-03 03:00:00;1015;125;1730
21885;2019-01-03 03:00:00;728;240;29336
18588;2019-01-03 04:00:00;7543;125;1730
30609;2019-01-03 04:00:00;1015;125;1730
21885;2019-01-03 04:00:00;728;240;29336
19473;2019-01-03 04:00:00;11961;125;1730
21885;2019-01-03 04:00:00;728;145;1650
30609;2019-01-03 04:00:00;1015;200;18512
25925;2019-01-03 04:00:00;4849;120;1730
30609;2019-01-03 05:00:00;1015;200;18512
18588;2019-01-03 05:00:00;7543;125;1730
19473;2019-01-03 05:00:00;11961;125;1730
21885;2019-01-03 05:00:00;728;145;1650
21885;2019-01-03 05:00:00;728;240;29336
25925;2019-01-03 05:00:00;4741;120;1730
30609;2019-01-03 05:00:00;1015;125;1730
18588;2019-01-03 05:30:00;7543;125;1730
19473;2019-01-03 06:00:00;11907;125;1730
21885;2019-01-03 06:00:00;725;240;29336
18588;2019-01-03 06:00:00;7543;125;1730
25925;2019-01-03 06:00:00;4688;120;1730
21885;2019-01-03 06:00:00;725;145;1650
30609;2019-01-03 06:00:00;1015;125;1730
30609;2019-01-03 06:00:00;1015;200;18512
25925;2019-01-03 07:00:00;4634;120;1730
19473;2019-01-03 07:00:00;11853;125;1730
18588;2019-01-03 07:00:00;7543;125;1730
21885;2019-01-03 07:00:00;725;145;1650
21885;2019-01-03 07:00:00;725;240;29336
30609;2019-01-03 07:00:00;1015;125;1730
30609;2019-01-03 07:00:00;1015;200;18512
21885;2019-01-03 08:00:00;725;145;1650
30609;2019-01-03 08:00:00;1015;200;18512
18588;2019-01-03 08:00:00;7543;125;1730
30609;2019-01-03 08:00:00;1015;125;1730
25925;2019-01-03 08:00:00;4634;120;1730
19473;2019-01-03 08:00:00;1180;125;1730
21885;2019-01-03 08:00:00;725;240;29336
18588;2019-01-03 09:00:00;7543;125;1730
21885;2019-01-03 09:00:00;716;240;29336
21885;2019-01-03 09:00:00;716;145;1650
19473;2019-01-03 09:00:00;11746;125;1730
30609;2019-01-03 09:00:00;1015;125;1730
25925;2019-01-03 09:00:00;4634;120;1730
30609;2019-01-03 09:00:00;1015;200;18512
19473;2019-01-03 10:00:00;11746;125;1730
21885;2019-01-03 10:00:00;716;145;1650
21885;2019-01-03 10:00:00;716;240;29336
18588;2019-01-03 10:00:00;7543;125;1730
30609;2019-01-03 10:00:00;1015;125;1730
25925;2019-01-03 10:00:00;4634;120;1730
30609;2019-01-03 10:00:00;1015;200;18512
21885;2019-01-03 11:00:00;716;240;29336
19473;2019-01-03 11:00:00;11692;125;1730
21885;2019-01-03 11:00:00;716;145;1650
18588;2019-01-03 11:00:00;7543;125;1730
25925;2019-01-03 11:00:00;4634;120;1730
30609;2019-01-03 11:00:00;1013;125;1730
30609;2019-01-03 11:00:00;1013;200;18512
30609;2019-01-03 12:00:00;1013;125;1730
18588;2019-01-03 12:00:00;7543;125;1730
19473;2019-01-03 12:00:00;11692;125;1730
21885;2019-01-03 12:00:00;716;145;1650
30609;2019-01-03 12:00:00;1013;200;18512
21885;2019-01-03 12:00:00;716;240;29336
25925;2019-01-03 12:00:00;4634;120;1730
18588;2019-01-03 13:00:00;7489;125;1730
30609;2019-01-03 13:00:00;1013;200;18512
